tamanho,tempo,L3_bandwidth,L2_miss,flops_dp,flops_avx
32,0.000187,12118.8168,0.314,3892.3794,3457.9581
64,0.00026776,8907.8325,0.3355,1990.2333,5130.6318
128,0.00044416,6254.3853,0.2529,1539.1742,6159.5519
256,0.00076764,3799.6021,0.1001,1703.8195,1685.7997
512,0.00172984,2422.9409,0.065,1665.4722,6274.6822
1000,0.00315132,3778.0151,0.1026,7383.0012,7213.1073
2000,0.00785268,6159.5142,0.0423,5674.5622,6361.1429
4000,0.01595688,23618.6814,0.1545,5911.9815,1402.5077
8000,0.03463052,10924.6693,0.2329,4846.4188,5351.4299
9000,0.03736012,50784.5318,0.2309,5539.3798,5455.832
10000,0.04538692,13153.3342,0.2605,4925.0488,5160.6798
20000,0.10404108,17594.449,0.3242,4408.672,4626.1486
